DATE,humidity,pressure,radiation,precipitation,temp_mean,temp_min,temp_max,wind_speed
20000709,0.76,1.0111,0.55,1.24,14.6,12.5,16.7,6
20000710,0.73,1.0011,0.99,0.25,16.1,13.9,17.9,5.5
20000711,0.69,1.0049,2.07,0.12,14.5,12,19,3.6
20000712,0.76,1.0169,1.67,0.61,13.2,11.4,16.6,3.6
20000713,0.79,1.0176,1.13,0.59,13.7,9.5,18.6,4.9
20000714,0.83,1.0116,0.52,1.09,13.7,11.6,15.9,5.9
20000715,0.78,1.0124,1.74,0.64,12.6,10.4,16.6,4
20000716,0.81,1.0166,1.41,1.17,12.7,10.2,17.7,2.1
20000717,0.71,1.0192,3.01,0,14.8,9.3,21,3.2
20000718,0.66,1.0191,3.01,0,16.7,9.4,23.1,3.1
20000719,0.66,1.0197,2.93,0,17,12,23.1,3.2
20000720,0.67,1.021,2.68,0,16.9,10.5,23,3.5
20000721,0.64,1.0209,3.03,0,18.5,11.7,25.3,6.4
20000722,0.63,1.0167,3.06,0,19.2,11.9,26,7.1
20000723,0.76,1.0127,1.13,0.14,18.8,15.2,22.9,2.8
20000724,0.8,1.0081,1.4,0.78,19.4,16.1,24.7,4.1
20000725,0.8,1.009,1.52,0.5,19,15.1,23.8,1.4
20000726,0.72,1.0121,2.6,0.02,19.9,16.3,24.6,3.9
20000727,0.74,1.0165,1.97,0.65,19.7,15.5,25.3,3.2
20000728,0.79,1.0173,1.67,0.34,17.2,14.7,21.4,4.4
20000729,0.86,1.0202,1.04,2.53,15.9,14,19.6,4
20000730,0.74,1.0239,1.92,0,17.6,14.1,22,1.6
20000731,0.66,1.0239,3.03,0,19.2,12.9,25.7,2.1
20000801,0.66,1.0203,2.97,0,21.9,14.1,29,2.9
20000802,0.78,1.0197,1.03,0.16,19.6,16.4,24.4,4.5
20000803,0.81,1.0205,0.79,0,17,13.3,19.8,3.9
20000804,0.7,1.0206,2.35,0,17.3,12.4,23.2,3.4
20000805,0.9,1.0207,0.35,1.16,15.5,13.6,16.7,3.5
20000806,0.75,1.0213,2.29,0,18.6,15.5,22.9,3
20000807,0.73,1.0225,2.3,0,19.4,15.7,25.1,2
20000808,0.74,1.0212,1.91,0,19.4,14.7,24.1,1.8
20000809,0.7,1.0205,2.74,0,20.7,14.8,26.4,2.1
20000810,0.67,1.0182,2.75,0,21.9,15.8,28.4,1.8
20000811,0.63,1.0146,2.74,0,22.8,16,29.4,3.1
20000812,0.62,1.014,2.7,0,23.1,17.4,29.6,3.6
20000813,0.62,1.0171,2.65,0,22.7,16.6,29.7,2.9
20000814,0.62,1.0201,2.61,0,23.5,17.4,30.3,4.4
20000815,0.68,1.0208,2.23,0,23.3,18.7,28.4,3.2
20000816,0.69,1.0173,2.52,0,22.8,17.2,28.2,2
20000817,0.74,1.0152,1.84,1,22.1,17.8,27.5,3.2
20000818,0.85,1.0143,1,0.18,21.4,19.2,25,1.8
20000819,0.65,1.0139,2.43,0,24,18.6,30.7,2.4
20000820,0.64,1.0119,2.23,1.24,24.9,17.8,33,2.5
20000821,0.86,1.0161,0.91,1.57,18.8,16,23,2
20000822,0.75,1.0196,2.18,0,18.1,14,23.3,4
20000823,0.74,1.0199,2.5,0,19.2,13.1,26,5
20000824,0.7,1.022,2.5,0,21,14.3,28.8,4.4
20000825,0.68,1.0197,2.48,0,20.9,14.6,28.8,5
20000826,0.65,1.0119,2.27,0.85,21.9,13.5,29.7,4.6
20000827,0.76,1.0179,0.8,0.28,18,15,21.5,3.8
20000828,0.69,1.0215,2,0,17.3,13.1,22.6,3
20000829,0.7,1.0202,2.24,0,17.4,11.7,23.3,1.5
20000830,0.82,1.0156,0.88,0.74,16.6,13.4,19.9,4.5
20000831,0.89,1.0111,0.64,2.62,16.2,14.8,19,2.9
20000901,0.75,1.0099,1.75,0.16,18,13.8,22.9,5.5
20000902,0.69,1.0116,1.63,0.68,15.9,13.4,19.6,4.8
20000903,0.85,1.0156,0.97,1.22,14.3,12.8,16.8,2.4
20000904,0.78,1.0211,1.54,0.01,14,10.7,17.6,1.8
20000905,0.76,1.0243,1.73,0,13.6,9.6,18.4,1.4
20000906,0.78,1.0184,1.2,0.52,14.4,10.5,18.3,4.4
20000907,0.71,1.0176,2.03,0,15.5,10.4,19.6,2.1
20000908,0.69,1.0229,2.23,0,15.2,8.6,22.3,2.2
20000909,0.72,1.024,2.07,0,17.2,11,24.1,3.6
20000910,0.75,1.0214,2.12,0,18.5,12.8,25,3
20000911,0.76,1.0166,2.07,0,19.3,13.8,25.9,2.1
20000912,0.75,1.0134,1.85,0.08,20.5,14.2,27,2.9
20000913,0.8,1.0154,1.14,0,18.8,16.2,22.8,1.1
20000914,0.78,1.0162,1.59,0,19.1,14.6,24.4,1.4
20000915,0.73,1.0132,1.77,0,21.3,16.1,26.8,4.6
20000916,0.63,1.0138,1.31,0,17.1,13.9,22,3.5
20000917,0.66,1.0138,1.62,0,15.4,11.8,19.2,1.5
20000918,0.74,1.0093,1.96,0,15.2,10,21.6,4.2
20000919,0.69,1.0037,1.9,0.03,17.9,11.6,24.6,3.6
20000920,0.85,1.0071,0.3,1.8,14.7,13.3,17,4
20000921,0.77,1.0185,1.26,0,13.5,9.8,18.1,3.9
20000922,0.73,1.0243,1.79,0,14.1,8.4,21,2.9
20000923,0.74,1.0214,1.87,0,14.5,8.7,20.1,4
20000924,0.75,1.0193,1.8,0,16,10.5,22.5,2.8
20000925,0.82,1.0228,0.89,0,16.2,13,21.4,1.5
20000926,0.77,1.0208,1.57,0,17.9,12.7,24.5,3.2
20000927,0.78,1.0189,1.22,0,17.9,13.8,22.9,3.6
20000928,0.72,1.0102,1.59,0,19.1,14.3,25.9,4.8
20000929,0.73,1.0027,1.64,0,18.1,12.6,24.4,3
20000930,0.84,1.0066,0.15,0.94,14.7,13.7,16.1,2.9
20001001,0.84,1.0081,0.65,0,14.6,12.5,17,3.9
20001002,0.78,1.0129,0.73,0.04,12.8,11,16.1,5.5
20001003,0.79,1.022,0.81,0,13.1,11.5,16.1,1.6
20001004,0.76,1.0214,1.17,0,13.9,10.1,18,1.4
20001005,0.81,1.0196,0.96,0.62,12.5,8.1,16.5,3
20001006,0.8,1.024,0.78,0.17,10.5,8.3,13,2.5
20001007,0.82,1.0255,1.14,0.44,8.3,4.9,12.8,2.6
20001008,0.83,1.0213,1.29,0.68,8,3.3,12.2,3.9
20001009,0.78,1.0123,1.15,0.25,10.4,7.1,14.6,6
20001010,0.66,0.9999,0.98,0.06,10.7,7.3,13.9,7.6
20001011,0.79,0.9927,0.17,0.79,11.1,8,13.9,5.8
20001012,0.84,1.0018,0.71,0.55,12.1,9.5,14.9,5.5
20001013,0.89,1.0126,0.26,0.19,10.9,9.5,12.1,1.9
20001014,0.91,1.0146,0.28,0.02,11.7,9.9,13.4,0.8
20001015,0.87,1.0081,0.47,0.37,12.9,11.6,15.7,2
20001016,0.79,1.0133,1.32,0,13.9,10.2,18.8,2.6
20001017,0.79,1.0255,0.58,0.33,11.9,9.5,14.7,0.9
20001018,0.82,1.0249,0.83,0.02,11.7,9.2,14.6,4.1
20001019,0.85,1.0217,0.53,0.06,12.9,11.1,15.1,2.1
20001020,0.83,1.0205,1.04,0,12.8,10.4,16.6,3.1
20001021,0.82,1.0248,1.09,0,13.1,9.3,17.9,2.6
20001022,0.84,1.0291,1.19,0,11.8,8.3,16.5,3
20001023,0.82,1.0263,1.2,0.15,12.2,9,17.2,3.1
20001024,0.89,1.0239,0.36,0.25,13.4,10.8,16.6,1.5
20001025,0.82,1.0176,0.97,0.06,14.6,10.2,19.5,3.5
20001026,0.79,1.018,0.53,0,12.9,10.9,16,2.5
20001027,0.73,1.0226,1.06,0,11,7,14.7,4.1
20001028,0.79,1.0191,1.11,0,10.5,5.7,16.3,5.6
20001029,0.7,1.0196,0.5,0.04,10.4,6.4,14.2,7.5
20001030,0.58,1.0051,0.63,0.78,13.9,5.1,20.1,8.4
20001031,0.78,1.006,0.28,0.48,9.7,7.6,17.2,6.2
20001101,0.62,1.0095,0.91,0,11.3,6.8,14.7,5.8
20001102,0.65,1.0049,0.55,0.95,11.4,7.1,14.1,6.1
20001103,0.87,1.0034,0.12,0.15,9.3,7.8,12.3,4.8
20001104,0.78,1.0137,0.63,0.17,7.8,6,11.5,2.2
20001105,0.74,1.0114,1.01,0.02,7.5,4.6,11.4,6.1
20001106,0.72,0.9882,0.1,0.52,8.6,6.1,11.9,7.6
20001107,0.52,0.9893,0.66,0,11.1,9.4,13.3,6.1
20001108,0.49,0.9993,0.71,0.02,10.4,8.2,13.8,4.1
20001109,0.71,1.0125,0.41,0.09,8.3,3.7,11.9,3
20001110,0.76,1.0227,0.43,0,6.6,3.3,10,3.1
20001111,0.77,1.0244,0.91,0,5.6,1.5,11,5.2
20001112,0.68,1.0117,0.23,0.08,7,3.1,10.1,5.8
20001113,0.82,1.004,0.21,1.15,9.6,7.6,11.9,3.2
20001114,0.9,1.0107,0.09,1.1,7,4.5,8.8,4.1
20001115,0.86,1.0177,0.38,0,6.2,3.6,8.8,3.6
20001116,0.85,1.0155,0.61,0.03,5.1,3,7.3,4.5
20001117,0.87,1.0156,0.09,1.07,5,4,5.7,3.2
20001118,0.8,1.0183,0.38,0,4.6,1.9,7.4,4.6
20001119,0.79,1.0081,0.45,0.13,4.4,0.6,8.7,5.9
20001120,0.78,1.0066,0.44,0.43,7.1,5.8,8.6,4.4
20001121,0.74,1.0093,0.71,0.1,6.8,4.7,9.7,6.5
20001122,0.84,1.0122,0.27,0.77,8.5,5.9,10.5,3.4
20001123,0.84,1.0055,0.1,0.53,9,7.8,10.3,4.9
20001124,0.85,1.0123,0.18,0.32,6.5,3.5,8.2,3.6
20001125,0.82,1.0109,0.62,0.65,5.2,2.3,9,5.8
20001126,0.75,1.0099,0.24,0.25,7.1,4.9,9.8,5.4
20001127,0.77,1.0199,0.39,0.25,7.1,5,9.3,4.2
20001128,0.86,1.0197,0.47,0,9.8,7,14,3.4
20001129,0.86,1.016,0.52,0,8.8,6.9,11.6,4
20001130,0.83,1.0191,0.53,0,8.3,6.4,12.1,3.6
20001201,0.87,1.0188,0.56,0.04,6,4.1,7.9,5.9
20001202,0.84,1.0184,0.26,0.02,8.2,6.4,11.2,3.1
20001203,0.76,1.0217,0.26,0,9.1,7.5,10.5,2.9
20001204,0.78,1.0203,0.59,0.12,8.1,5.9,10.7,5.1
20001205,0.84,1.0191,0.6,0,6.8,4.9,10.6,5.6
20001206,0.87,1.0179,0.28,0.43,6.1,4.3,7.8,4.4
20001207,0.79,1.0109,0.15,0.05,8.4,6.2,10,6.2
20001208,0.81,1.0116,0.06,1.43,9.7,8.7,11.7,6.2
20001209,0.83,1.0186,0.45,0,9.2,6.6,11.8,5.8
20001210,0.74,1.0224,0.14,0.28,9.2,4.6,13.5,7.6
20001211,0.67,1.0286,0.53,0,10.1,7.6,13.3,5.6
20001212,0.74,1.025,0.35,0,9,6.7,11.1,6
20001213,0.6,1.0225,0.39,0,11.7,6.9,15.6,6.5
20001214,0.66,1.0134,0.18,0.22,9.3,8,11,5.2
20001215,0.78,1.0114,0.29,0.16,5.7,4.1,9.2,3.8
20001216,0.72,1.0168,0.3,0.21,4.3,2.3,5.7,3.4
20001217,0.73,1.0177,0.29,0.03,4.8,2.8,7.5,3.1
20001218,0.8,1.0217,0.25,0,3,0.2,5,4.1
20001219,0.78,1.0217,0.45,0,6.1,3.3,11.1,3.4
20001220,0.82,1.0206,0.13,0,4.5,2.7,6.4,2.8
20001221,0.81,1.0223,0.18,0,3.3,1.7,4.3,3.8
20001222,0.8,1.0207,0.45,0,0.4,-1.7,1.9,5.8
20001223,0.8,1.0157,0.6,0,0.3,-1.7,3.6,3.1
20001224,0.78,1.0059,0.4,0.4,0,-2.1,1.7,3
20001225,0.89,0.9965,0.17,0.46,3.6,1.3,5.1,1.9
20001226,0.85,0.9925,0.54,0.01,5.9,4.5,8.9,4
20001227,0.83,0.9921,0.37,0.04,5.2,3.3,8.2,4.2
20001228,0.8,1.0002,0.17,0.01,2.6,-0.6,6.5,2.8
20001229,0.81,1.0021,0.16,0.17,1.1,-0.8,2.6,3.6
20001230,0.77,1.0069,0.43,0.01,1,-0.8,3.4,2.9
20001231,0.76,1.0188,0.59,0,0.6,-0.8,2.9,4.3
20010101,0.68,1.0086,0.16,1.22,0.8,-1.3,4.4,6.6
20010102,0.81,1.0049,0.07,1.01,6.6,3.5,9.2,7.4
20010103,0.7,1.0118,0.37,0,7,3.3,9.2,6.1
20010104,0.71,1.0083,0.13,0.04,6.7,3.3,10,7.4
20010105,0.71,1.0017,0.08,1.51,9.3,4.6,14.7,9.6
20010106,0.86,1.0071,0.07,1.01,7.8,5.1,11.4,3.6
20010107,0.87,1.0147,0.24,0,4.9,4.1,5.9,3.1
20010108,0.84,1.0157,0.21,0,5,3.6,6.1,3
20010109,0.81,1.0179,0.63,0.01,1.9,-0.4,5.2,4.8
20010110,0.8,1.0151,0.25,0.27,3.6,2.1,4.9,5
20010111,0.82,1.0181,0.12,0.04,6,4.6,7.4,4.2
20010112,0.88,1.0221,0.08,0,3.9,-0.4,5.6,6.8
20010113,0.69,1.0268,0.52,0,-0.9,-2.6,1.1,6.9
20010114,0.59,1.0273,0.72,0,-1.8,-3.3,0.7,6.1
20010115,0.7,1.0257,0.67,0,-1.8,-3.3,0,3.2
20010116,0.79,1.0241,0.66,0,-1.1,-4.4,2.3,2.6
20010117,0.76,1.0213,0.64,0,-0.2,-3.4,4,2
20010118,0.8,1.0205,0.34,0,1.8,0,4.5,2.8
20010119,0.88,1.0226,0.23,0.26,2.1,0.2,3.7,2
20010120,0.87,1.0252,0.33,0.25,3.5,1.6,5.7,1.9
20010121,0.83,1.0261,0.59,0.15,1.7,-0.4,4.1,5.2
20010122,0.76,1.0144,0.61,0.28,4.5,2,7.4,5.6
20010123,0.81,1.0097,0.43,0.11,7.7,4.2,10.7,7.6
20010124,0.81,1.0069,0.08,1.12,7.5,4.2,9.9,6.9
20010125,0.85,1.0092,0.5,0.47,6,3.1,9,4.8
20010126,0.78,1.008,0.47,0.06,5.2,2,8.9,7
20010127,0.66,1.0046,0.81,0.31,6.2,1.4,8.4,5.5
20010128,0.72,1.0041,0.81,0,3.6,0.3,7.7,4
20010129,0.86,1.0153,0.26,0,1.6,0.7,3,3.2
20010130,0.84,1.0223,0.39,0,2.5,0.2,4.2,2.5
